,track_name
0,Seven (feat. Latto) (Explicit Ver.)
1,LALA
2,vampire
3,Cruel Summer
4,WHERE SHE GOES
5,Sprinter
6,Ella Baila Sola
7,Columbia
8,fukumean
9,La Bebe - Remix
10,un x100to
11,Super Shy
12,Flowers
13,Daylight
14,As It Was
15,Kill Bill
16,Cupid - Twin Ver.
17,"What Was I Made For? [From The Motion Picture ""Barbie""]"
18,Classy 101
19,Like Crazy
20,LADY GAGA
21,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The 
22,I Wanna Be Yours
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55"
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)
25,SABOR FRESA
26,Calm Down (with Selena Gomez)
27,MOJABI GHOST
28,Last Night
29,Dance The Night (From Barbie The Album)
30,Rush
31,TULUM
32,Creepin'
33,Anti-Hero
34,TQG
35,Los del Espacio
36,Frï¿½ï¿½gil (feat. Grupo Front
37,Blank Space
38,Style
39,TQM
40,El Azul
41,Sunflower - Spider-Man: Into the Spider-Verse
42,I'm Good (Blue)
43,See You Again
44,Barbie World (with Aqua) [From Barbie The Album]
45,Angels Like You
46,I Ain't Worried
47,Die For You
48,Starboy
49,Die For You - Remix
50,El Cielo
51,Baby Don't Hurt Me
52,AMARGURA
53,(It Goes Like) Nanana - Edit
54,Another Love
55,Blinding Lights
56,Moonlight
57,La Bachata
58,S91
59,cardigan
60,Tï¿½ï¿
61,Boy's a liar Pt. 2
62,Left and Right (Feat. Jung Kook of BTS)
63,BESO
64,Hey Mor
65,Yellow
66,Karma
67,People
68,Overdrive
69,Enchanted (Taylor's Version)
70,BABY HELLO
71,Heat Waves
72,golden hour
73,Sweater Weather
74,"Quevedo: Bzrp Music Sessions, Vol. 52"
75,Viva La Vida
76,Here With Me
77,Unholy (feat. Kim Petras)
78,Yandel 150
79,CORAZï¿½ï¿½N VA
80,Riptide
81,Until I Found You (with Em Beihold) - Em Beihold Version
82,Novidade na ï¿½ï¿
83,Back To December (Taylor's Version)
84,STAY (with Justin Bieber)
85,El Merengue
86,Someone You Loved
87,Me Porto Bonito
88,Makeba
89,MONTAGEM - FR PUNK
90,Fast Car
91,What It Is (Solo Version)
92,Coco Chanel
93,Donï¿½ï¿½ï¿½t Bl
94,Still With You
95,All My Life (feat. J. Cole)
96,Say Yes To Heaven
97,Snooze
98,Summertime Sadness
99,Take Two
100,Lover
101,Too Many Nights (feat. Don Toliver & with Future)
102,Chemical
103,Mockingbird
104,New Jeans
105,Primera Cita
106,Cold Heart - PNAU Remix
107,Dandelions
108,Bones
109,Set Fire to the Rain
110,Money Trees
111,Tak Segampang Itu
112,LAGUNAS
113,Mine (Taylor's Version)
114,Everybody Wants To Rule The World
115,No Role Modelz
116,Tattoo
117,Rara Vez
118,VAGABUNDO
119,august
120,LUNA
121,Miracle (with Ellie Goulding)
122,Nonsense
123,Que Vuelvas
124,Por las Noches
125,Feliz Cumpleaï¿½ï¿½os Fe
126,Can't Hold Us (feat. Ray Dalton)
127,Watermelon Sugar
128,lovely - Bonus Track
129,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56"
130,Queencard
131,OMG
132,Radio
133,"Shakira: Bzrp Music Sessions, Vol. 53"
134,505
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)"
136,Trance (with Travis Scott & Young Thug)
137,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")"
138,Perfect
139,Romantic Homicide
140,Believer
141,Novo Balanï¿½
142,"Gol Bolinha, Gol Quadrado 2"
143,Without Me
144,QUEMA
145,Stargirl Interlude
146,Ojitos Lindos
147,Somewhere Only We Know
148,Those Eyes
149,El Gordo Trae El Mando
150,Mi Bello Angel
151,Bye
152,Danza Kuduro
153,Nosso Quadro
154,Locked Out Of Heaven
155,Un Finde | CROSSOVER #2
156,Jimmy Cooks (feat. 21 Savage)
157,Counting Stars
158,Ghost
159,Under The Influence
160,PRC
161,Gasolina
162,One Dance
163,Enchanted
164,Save Your Tears
165,Sure Thing
166,Every Breath You Take - Remastered 2003
167,The Night We Met
168,We Found Love
169,When I Was Your Man
170,Let Me Down Slowly
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"
172,Do I Wanna Know?
173,Demons
174,ýýýýýýýýýýýý
175,Reminder
176,Shake It Off
177,Why'd You Only Call Me When You're High?
178,SNAP
179,Shape of You
180,Night Changes
181,Fin de Semana
182,Creep
183,Car's Outside
184,Apocalypse
185,Cheques
186,Pink + White
187,Circles
188,Just The Way You Are
189,Take Me To Church
190,Bebe Dame
191,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve
192,Titi Me Preguntï¿
193,Better Than Revenge (Taylor's Version)
194,Shut up My Moms Calling
195,Have You Ever Seen The Rain?
196,Es un Secreto
197,POLARIS - Remix
198,Ditto
199,Take On Me
200,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)"
201,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)"
202,Acrï¿½ï¿½s
203,AMG
204,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")"
205,S-Class
206,Hits Different
207,Chanel
208,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)
209,Area Codes
210,Abcdario
211,Obsessed
212,Piï¿½ï¿½man Deï¿
213,FLOWER
214,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)"
215,Eyes Closed
216,Escapism.
217,La Jumpa
218,Karma (feat. Ice Spice)
219,Superhero (Heroes & Villains) [with Future & Chris Brown]
220,Las Morras
221,CHORRITO PA LAS ANIMAS
222,Ch y la Pizza
223,Snow On The Beach (feat. More Lana Del Rey)
224,Players
225,Bite Me
226,Stand By Me (feat. Morgan Wallen)
227,Normal
228,Hummingbird (Metro Boomin & James Blake)
229,Seu Brilho Sumiu - Ao Vivo
230,Bad Habit
231,CUFF IT
232,Lilith (feat. SUGA of BTS) (Diablo IV Anthem)
233,69
234,Niï¿½ï¿½a Bo
235,Search & Rescue
236,AMERICA HAS A PROBLEM (feat. Kendrick Lamar)
237,Lavender Haze
238,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )"
239,Efecto
240,Erro Gostoso - Ao Vivo
241,Cupido
242,Just Wanna Rock
243,Unstoppable
244,Until I Found You
245,Rich Flex
246,Easy On Me
247,Cartï¿½ï¿½o B
248,Danger (Spider) (Offset & JID)
249,Oi Balde - Ao Vivo
250,The Real Slim Shady
251,MERCHO
252,The Color Violet
253,Glimpse of Us
254,Mejor Que Yo
255,Curtains
256,UNFORGIVEN (feat. Nile Rodgers)
257,Haegeum
